,Hour,Count1,Cluster_id1,Best_h1,Price_weekday1,Savings1,Final_Savings1,Count2,Cluster_id2,Best_h2,Price_sat2,Savings2,Final_Savings2,Count3,Cluster_id3,Best_h3,Price_sun3,Savings3,Final_Savings3
0,6,43,4,1,38.84609195402297,4.877931034482749,209.75103448275823,4,4,1,26.455094339622644,2.8088679245283075,11.23547169811323,2,4,1,18.069615384615386,1.2130769230769154,2.426153846153831
1,7,59,4,2,38.16226053639844,2.032183908045951,119.89885057471112,10,4,2,28.553584905660376,0.2799999999999976,2.799999999999976,5,4,2,19.27634615384616,0.581730769230763,2.9086538461538147
2,8,59,3,0,36.13007662835249,0.0,0.0,15,3,0,28.833584905660373,0.0,0.0,13,3,0,19.858076923076922,0.0,0.0
3,9,53,3,0,34.76678160919539,0.0,0.0,16,3,0,28.049622641509444,0.0,0.0,15,3,0,20.438653846153848,0.0,0.0
4,10,46,3,2,33.142988505747105,1.7302298850574545,79.5905747126429,11,3,2,26.766603773584905,1.75660377358491,19.32264150943401,13,3,2,18.889615384615386,3.0688461538461542,39.895
5,11,45,2,2,31.41275862068965,0.6191187739463686,27.860344827586587,10,2,2,25.009999999999994,1.189056603773583,11.89056603773583,11,2,2,15.820769230769232,2.757884615384617,30.336730769230783
6,12,40,1,0,30.793639846743282,0.0,0.0,10,1,0,23.82094339622641,0.0,0.0,8,1,0,13.062884615384615,0.0,0.0
7,13,45,2,1,31.125938697318016,0.33229885057473396,14.953448275863028,11,2,1,23.449622641509443,0.3713207547169688,4.084528301886657,9,2,1,14.322307692307694,1.2594230769230794,11.334807692307715
8,14,45,2,0,32.29329501915707,0.0,0.0,10,2,0,24.83754716981133,0.0,0.0,6,2,0,15.680192307692304,0.0,0.0
9,15,41,3,1,34.97827586206895,2.6849808429118767,110.08421455938694,9,3,1,28.09037735849057,3.2528301886792406,29.275471698113165,6,3,1,20.791923076923087,5.111730769230784,30.6703846153847
10,16,34,4,1,39.56819923371647,4.589923371647522,156.05739463601577,10,4,1,32.40754716981132,4.317169811320753,43.171698113207526,6,4,1,27.49230769230769,6.700384615384603,40.20230769230762
11,17,30,4,0,40.51260536398469,0.0,0.0,9,4,0,34.4866037735849,0.0,0.0,13,4,0,31.1675,0.0,0.0
12,18,28,4,2,38.23605363984672,4.242337164750943,118.7854406130264,7,4,2,32.42113207547171,3.0566037735849108,21.396226415094375,14,4,2,31.03423076923077,1.9288461538461625,27.003846153846276
13,19,27,3,0,33.99371647509578,0.0,0.0,8,3,0,29.3645283018868,0.0,0.0,15,3,0,29.105384615384608,0.0,0.0
14,20,28,3,2,30.608275862068965,2.795019157088113,78.26053639846717,7,3,2,27.65075471698113,1.502641509433957,10.518490566037698,9,3,2,27.80384615384616,1.759230769230772,15.833076923076948
15,21,18,2,2,27.81325670498085,2.611226053639836,47.00206896551705,5,2,2,26.148113207547173,3.4277358490565994,17.138679245282997,2,2,2,26.044615384615387,3.7221153846153925,7.444230769230785
16,22,9,1,0,25.202030651341015,0.0,0.0,4,1,0,22.720377358490573,0.0,0.0,1,1,0,22.322499999999994,0.0,0.0
