,Hour,Count1,Cluster_id1,Best_h1,Price_weekday1,Savings1,Final_Savings1,Count2,Cluster_id2,Best_h2,Price_sat2,Savings2,Final_Savings2,Count3,Cluster_id3,Best_h3,Price_sun3,Savings3,Final_Savings3
0,0,212,0,0,22.245593869731803,0.0,0.0,43,0,0,23.26773584905661,0.0,0.0,42,0,0,17.756730769230767,0.0,0.0
1,1,212,0,0,21.259003831417626,0.0,0.0,43,0,0,22.121886792452827,0.0,0.0,41,0,0,16.85653846153847,0.0,0.0
2,2,212,0,0,21.253984674329512,0.0,0.0,43,0,0,21.703773584905658,0.0,0.0,42,0,0,16.4475,0.0,0.0
3,3,212,0,0,22.811762452107267,0.0,0.0,43,0,0,21.910377358490557,0.0,0.0,42,0,0,16.34692307692308,0.0,0.0
4,4,212,2,1,27.572758620689658,4.760996168582391,1009.3311877394669,43,2,1,22.46226415094339,0.5518867924528337,23.731132075471848,42,2,1,16.354230769230767,0.007307692307687574,0.3069230769228781
5,5,212,3,1,33.96816091954022,6.395402298850559,1355.8252873563185,43,3,1,23.646226415094336,1.1839622641509457,50.91037735849066,42,3,1,16.132499999999997,0.22173076923077062,9.312692307692366
6,6,212,4,1,38.84609195402297,4.877931034482749,1034.121379310343,43,4,1,26.455094339622644,2.8088679245283075,120.78132075471723,42,4,1,18.069615384615386,1.9371153846153888,81.35884615384633
7,7,212,4,2,38.16226053639844,2.032183908045951,430.82298850574165,43,4,2,28.553584905660376,0.2799999999999976,12.039999999999896,42,4,2,19.27634615384616,0.581730769230763,24.432692307692044
8,8,212,3,0,36.13007662835249,0.0,0.0,43,3,0,28.833584905660373,0.0,0.0,42,3,0,19.858076923076922,0.0,0.0
9,9,211,3,0,34.76678160919539,0.0,0.0,43,3,0,28.049622641509444,0.0,0.0,42,3,0,20.438653846153848,0.0,0.0
10,10,212,3,2,33.142988505747105,1.7302298850574545,366.80873563218034,43,3,2,26.766603773584905,1.75660377358491,75.53396226415113,42,3,2,18.889615384615386,3.0688461538461542,128.8915384615385
11,11,211,2,2,31.41275862068965,0.6191187739463686,130.6340613026838,43,2,2,25.009999999999994,1.189056603773583,51.12943396226407,42,2,2,15.820769230769232,2.757884615384617,115.83115384615391
12,12,212,1,0,30.793639846743282,0.0,0.0,43,1,0,23.82094339622641,0.0,0.0,42,1,0,13.062884615384615,0.0,0.0
13,13,213,2,1,31.125938697318016,0.33229885057473396,70.77965517241833,43,2,1,23.449622641509443,0.3713207547169688,15.966792452829658,42,2,1,14.322307692307694,1.2594230769230794,52.89576923076933
14,14,213,2,0,32.29329501915707,0.0,0.0,43,2,0,24.83754716981133,0.0,0.0,42,2,0,15.680192307692304,0.0,0.0
15,15,212,3,1,34.97827586206895,2.6849808429118767,569.2159386973178,43,3,1,28.09037735849057,3.2528301886792406,139.87169811320734,42,3,1,20.791923076923087,5.111730769230784,214.6926923076929
16,16,212,4,1,39.56819923371647,4.589923371647522,973.0637547892748,43,4,1,32.40754716981132,4.317169811320753,185.63830188679236,42,4,1,27.49230769230769,6.700384615384603,281.41615384615335
17,17,213,4,0,40.51260536398469,0.0,0.0,43,4,0,34.4866037735849,0.0,0.0,42,4,0,31.1675,0.0,0.0
18,18,213,4,2,38.23605363984672,4.242337164750943,903.6178160919508,43,4,2,32.42113207547171,3.0566037735849108,131.43396226415115,43,4,2,31.03423076923077,1.9288461538461625,82.94038461538499
19,19,213,3,0,33.99371647509578,0.0,0.0,43,3,0,29.3645283018868,0.0,0.0,42,3,0,29.105384615384608,0.0,0.0
20,20,213,3,2,30.608275862068965,2.795019157088113,595.3390804597681,43,3,2,27.65075471698113,1.502641509433957,64.61358490566015,42,3,2,27.80384615384616,1.759230769230772,73.88769230769242
21,21,213,2,2,27.81325670498085,2.611226053639836,556.1911494252851,43,2,2,26.148113207547173,3.4277358490565994,147.3926415094338,42,2,2,26.044615384615387,3.7221153846153925,156.32884615384648
22,22,213,1,0,25.202030651341015,0.0,0.0,43,1,0,22.720377358490573,0.0,0.0,42,1,0,22.322499999999994,0.0,0.0
23,23,213,1,1,24.044750957854408,1.1572796934866076,246.50057471264742,43,1,1,19.459056603773586,3.261320754716987,140.23679245283046,42,1,1,20.9025,1.4199999999999946,59.63999999999977
