,Datetime,Date,Year,Hour,Price,circulationpump,dishwasher,freezer,gridimport,heating,washingmachine,dishwasher_dif,dishwasher_cost,washingmachine_dif,washingmachine_cost
37,2016-01-02 13:00:00,2016-01-02 00:00:00,2016,13,33.8,239.763,153.004,93.259,1507.855,0.084,95.27600000000001,0.0,0.0,0.0,0.0
38,2016-01-02 14:00:00,2016-01-02 00:00:00,2016,14,33.94,239.847,153.004,93.259,1508.62,0.084,95.27600000000001,0.0,0.0,0.0,0.0
39,2016-01-02 15:00:00,2016-01-02 00:00:00,2016,15,38.5,239.94400000000002,153.004,93.259,1509.625,0.084,95.27600000000001,0.0,0.0,0.0,0.0
40,2016-01-02 16:00:00,2016-01-02 00:00:00,2016,16,56.02,240.035,153.004,93.259,1510.06,0.084,95.27600000000001,0.0,0.0,0.0,0.0
41,2016-01-02 17:00:00,2016-01-02 00:00:00,2016,17,56.72,240.12400000000002,153.004,93.259,1510.395,0.084,95.27600000000001,0.0,0.0,0.0,0.0
42,2016-01-02 18:00:00,2016-01-02 00:00:00,2016,18,53.12,240.22400000000002,153.004,93.259,1510.81,0.084,95.27600000000001,0.0,0.0,0.0,0.0
43,2016-01-02 19:00:00,2016-01-02 00:00:00,2016,19,34.76,240.329,153.004,93.259,1511.23,0.084,95.27600000000001,0.0,0.0,0.0,0.0
44,2016-01-02 20:00:00,2016-01-02 00:00:00,2016,20,31.66,240.445,153.004,93.259,1511.6,0.084,95.27600000000001,0.0,0.0,0.0,0.0
45,2016-01-02 21:00:00,2016-01-02 00:00:00,2016,21,33.94,240.49,153.004,93.259,1511.955,0.084,95.27600000000001,0.0,0.0,0.0,0.0
46,2016-01-02 22:00:00,2016-01-02 00:00:00,2016,22,30.62,240.493,153.004,93.259,1512.085,0.084,95.27600000000001,0.0,0.0,0.0,0.0
47,2016-01-02 23:00:00,2016-01-02 00:00:00,2016,23,13.98,240.497,153.004,93.259,1512.15,0.084,95.27600000000001,0.0,0.0,0.0,0.0
48,2016-01-03 00:00:00,2016-01-03 00:00:00,2016,0,-0.02,240.50099999999998,153.004,93.259,1512.275,0.084,95.27600000000001,0.0,-0.0,0.0,-0.0
49,2016-01-03 01:00:00,2016-01-03 00:00:00,2016,1,0.46,240.505,153.004,93.259,1512.39,0.084,95.27600000000001,0.0,0.0,0.0,0.0
50,2016-01-03 02:00:00,2016-01-03 00:00:00,2016,2,9.02,240.50799999999998,153.004,93.259,1512.445,0.084,95.27600000000001,0.0,0.0,0.0,0.0
51,2016-01-03 03:00:00,2016-01-03 00:00:00,2016,3,8.24,240.512,153.004,93.259,1512.54,0.084,95.27600000000001,0.0,0.0,0.0,0.0
52,2016-01-03 04:00:00,2016-01-03 00:00:00,2016,4,13.52,240.516,153.004,93.259,1512.67,0.084,95.27600000000001,0.0,0.0,0.0,0.0
53,2016-01-03 05:00:00,2016-01-03 00:00:00,2016,5,1.5,240.66299999999998,153.004,93.259,1512.88,0.084,95.27600000000001,0.0,0.0,0.0,0.0
54,2016-01-03 06:00:00,2016-01-03 00:00:00,2016,6,8.54,240.77900000000002,153.004,93.259,1513.06,0.084,95.27600000000001,0.0,0.0,0.0,0.0
55,2016-01-03 07:00:00,2016-01-03 00:00:00,2016,7,18.22,240.87,153.004,93.259,1513.535,0.084,95.27600000000001,0.0,0.0,0.0,0.0
56,2016-01-03 08:00:00,2016-01-03 00:00:00,2016,8,31.84,240.985,153.004,93.259,1513.875,0.084,95.27600000000001,0.0,0.0,0.0,0.0
57,2016-01-03 09:00:00,2016-01-03 00:00:00,2016,9,34.12,241.084,153.004,93.259,1515.915,0.084,95.27600000000001,0.0,0.0,0.0,0.0
58,2016-01-03 10:00:00,2016-01-03 00:00:00,2016,10,38.56,241.176,153.004,93.259,1516.4,0.084,95.27600000000001,0.0,0.0,0.0,0.0
59,2016-01-03 11:00:00,2016-01-03 00:00:00,2016,11,40.5,241.27200000000002,153.004,93.259,1517.11,0.084,95.27600000000001,0.0,0.0,0.0,0.0
60,2016-01-03 12:00:00,2016-01-03 00:00:00,2016,12,35.32,241.36599999999999,153.004,93.259,1517.95,0.084,95.27600000000001,0.0,0.0,0.0,0.0
61,2016-01-03 13:00:00,2016-01-03 00:00:00,2016,13,36.98,241.472,153.004,93.259,1518.38,0.084,95.27600000000001,0.0,0.0,0.0,0.0
62,2016-01-03 14:00:00,2016-01-03 00:00:00,2016,14,33.02,241.574,153.004,93.259,1519.01,0.084,95.27600000000001,0.0,0.0,0.0,0.0
63,2016-01-03 15:00:00,2016-01-03 00:00:00,2016,15,37.52,241.65900000000002,153.004,93.259,1519.32,0.084,95.27600000000001,0.0,0.0,0.0,0.0
64,2016-01-03 16:00:00,2016-01-03 00:00:00,2016,16,44.42,241.743,153.004,93.259,1519.545,0.084,95.27600000000001,0.0,0.0,0.0,0.0
65,2016-01-03 17:00:00,2016-01-03 00:00:00,2016,17,53.52,241.826,153.004,93.259,1520.39,0.084,95.27600000000001,0.0,0.0,0.0,0.0
