,Hour,Count1,Cluster_id1,Best_h1,Price_weekday1,Savings1,Final_Savings1,Count2,Cluster_id2,Best_h2,Price_sat2,Savings2,Final_Savings2,Count3,Cluster_id3,Best_h3,Price_sun3,Savings3,Final_Savings3
0,6,14,4,1,38.84609195402297,4.877931034482749,68.29103448275849,1,4,1,26.455094339622644,,,1,4,1,18.069615384615386,1.622115384615384,1.622115384615384
1,7,55,4,2,38.16226053639844,2.032183908045951,111.77011494252731,2,4,2,28.553584905660376,0.2799999999999976,0.5599999999999952,4,4,2,19.27634615384616,0.581730769230763,2.326923076923052
2,8,65,3,0,36.13007662835249,0.0,0.0,9,3,0,28.833584905660373,0.0,0.0,7,3,0,19.858076923076922,0.0,0.0
3,9,77,3,0,34.76678160919539,0.0,0.0,18,3,0,28.049622641509444,0.0,0.0,11,3,0,20.438653846153848,0.0,0.0
4,10,86,3,2,33.142988505747105,1.7302298850574545,148.79977011494108,25,3,2,26.766603773584905,1.75660377358491,43.915094339622755,23,3,2,18.889615384615386,3.0688461538461542,70.58346153846155
5,11,92,2,2,31.41275862068965,0.6191187739463686,56.95892720306591,25,2,2,25.009999999999994,1.189056603773583,29.726415094339576,27,2,2,15.820769230769232,2.757884615384617,74.46288461538465
6,12,94,1,0,30.793639846743282,0.0,0.0,24,1,0,23.82094339622641,0.0,0.0,29,1,0,13.062884615384615,0.0,0.0
7,13,90,2,1,31.125938697318016,0.33229885057473396,29.906896551726057,26,2,1,23.449622641509443,0.3713207547169688,9.654339622641189,23,2,1,14.322307692307694,1.2594230769230794,28.96673076923083
8,14,69,2,0,32.29329501915707,0.0,0.0,22,2,0,24.83754716981133,0.0,0.0,21,2,0,15.680192307692304,0.0,0.0
9,15,61,3,1,34.97827586206895,2.6849808429118767,163.78383141762447,20,3,1,28.09037735849057,3.2528301886792406,65.05660377358481,19,3,1,20.791923076923087,5.111730769230784,97.12288461538489
10,16,38,4,1,39.56819923371647,4.589923371647522,174.41708812260583,16,4,1,32.40754716981132,4.317169811320753,69.07471698113204,17,4,1,27.49230769230769,6.700384615384603,113.90653846153826
11,17,26,4,0,40.51260536398469,0.0,0.0,8,4,0,34.4866037735849,0.0,0.0,10,4,0,31.1675,0.0,0.0
12,18,16,4,2,38.23605363984672,4.242337164750943,67.87739463601508,8,4,2,32.42113207547171,3.0566037735849108,24.452830188679286,6,4,2,31.03423076923077,1.9288461538461625,11.573076923076975
13,19,9,3,0,33.99371647509578,0.0,0.0,5,3,0,29.3645283018868,0.0,0.0,2,3,0,29.105384615384608,0.0,0.0
14,20,3,3,2,30.608275862068965,2.795019157088113,8.38505747126434,4,3,2,27.65075471698113,1.502641509433957,6.010566037735828,2,3,2,27.80384615384616,,
