,Hour,Count1,Cluster_id1,Best_h1,Price_weekday1,Savings1,Final_Savings1,Count2,Cluster_id2,Best_h2,Price_sat2,Savings2,Final_Savings2,Count3,Cluster_id3,Best_h3,Price_sun3,Savings3,Final_Savings3
0,0,60,0,0,22.245593869731803,0.0,0.0,9,0,0,23.26773584905661,0.0,0.0,13,0,0,17.756730769230767,0.0,0.0
1,1,36,0,0,21.259003831417626,0.0,0.0,12,0,0,22.121886792452827,0.0,0.0,9,0,0,16.85653846153847,0.0,0.0
2,2,30,0,0,21.253984674329512,0.0,0.0,9,0,0,21.703773584905658,0.0,0.0,6,0,0,16.4475,0.0,0.0
3,3,29,0,0,22.811762452107267,0.0,0.0,4,0,0,21.910377358490557,0.0,0.0,6,0,0,16.34692307692308,0.0,0.0
4,4,27,2,1,27.572758620689658,4.760996168582391,128.54689655172456,5,2,1,22.46226415094339,0.5518867924528337,2.7594339622641684,4,2,1,16.354230769230767,0.007307692307687574,0.029230769230750298
5,5,28,3,1,33.96816091954022,6.395402298850559,179.07126436781567,8,3,1,23.646226415094336,1.1839622641509457,9.471698113207566,10,3,1,16.132499999999997,0.22173076923077062,2.217307692307706
6,6,41,4,1,38.84609195402297,4.877931034482749,199.99517241379272,6,4,1,26.455094339622644,2.8088679245283075,16.853207547169845,6,4,1,18.069615384615386,1.9371153846153888,11.622692307692333
7,7,66,4,2,38.16226053639844,2.032183908045951,134.12413793103278,12,4,2,28.553584905660376,0.2799999999999976,3.359999999999971,9,4,2,19.27634615384616,0.581730769230763,5.2355769230768665
8,8,66,3,0,36.13007662835249,0.0,0.0,8,3,0,28.833584905660373,0.0,0.0,4,3,0,19.858076923076922,0.0,0.0
9,9,68,3,0,34.76678160919539,0.0,0.0,11,3,0,28.049622641509444,0.0,0.0,9,3,0,20.438653846153848,0.0,0.0
10,10,55,3,2,33.142988505747105,1.7302298850574545,95.16264367816,15,3,2,26.766603773584905,1.75660377358491,26.34905660377365,11,3,2,18.889615384615386,3.0688461538461542,33.7573076923077
11,11,45,2,2,31.41275862068965,0.6191187739463686,27.860344827586587,13,2,2,25.009999999999994,1.189056603773583,15.45773584905658,10,2,2,15.820769230769232,2.757884615384617,27.578846153846168
12,12,34,1,0,30.793639846743282,0.0,0.0,18,1,0,23.82094339622641,0.0,0.0,11,1,0,13.062884615384615,0.0,0.0
13,13,46,2,1,31.125938697318016,0.33229885057473396,15.285747126437762,16,2,1,23.449622641509443,0.3713207547169688,5.941132075471501,14,2,1,14.322307692307694,1.2594230769230794,17.631923076923112
14,14,56,2,0,32.29329501915707,0.0,0.0,17,2,0,24.83754716981133,0.0,0.0,16,2,0,15.680192307692304,0.0,0.0
15,15,53,3,1,34.97827586206895,2.6849808429118767,142.30398467432946,11,3,1,28.09037735849057,3.2528301886792406,35.781132075471646,8,3,1,20.791923076923087,5.111730769230784,40.89384615384627
16,16,45,4,1,39.56819923371647,4.589923371647522,206.5465517241385,15,4,1,32.40754716981132,4.317169811320753,64.75754716981129,12,4,1,27.49230769230769,6.700384615384603,80.40461538461524
17,17,44,4,0,40.51260536398469,0.0,0.0,11,4,0,34.4866037735849,0.0,0.0,13,4,0,31.1675,0.0,0.0
18,18,56,4,2,38.23605363984672,4.242337164750943,237.5708812260528,10,4,2,32.42113207547171,3.0566037735849108,30.566037735849108,16,4,2,31.03423076923077,1.9288461538461625,30.8615384615386
19,19,56,3,0,33.99371647509578,0.0,0.0,14,3,0,29.3645283018868,0.0,0.0,20,3,0,29.105384615384608,0.0,0.0
20,20,72,3,2,30.608275862068965,2.795019157088113,201.24137931034414,17,3,2,27.65075471698113,1.502641509433957,25.544905660377268,22,3,2,27.80384615384616,1.759230769230772,38.703076923076985
21,21,70,2,2,27.81325670498085,2.611226053639836,182.7858237547885,15,2,2,26.148113207547173,3.4277358490565994,51.41603773584899,21,2,2,26.044615384615387,3.7221153846153925,78.16442307692324
22,22,74,1,0,25.202030651341015,0.0,0.0,14,1,0,22.720377358490573,0.0,0.0,15,1,0,22.322499999999994,0.0,0.0
23,23,73,1,1,24.044750957854408,1.1572796934866076,84.48141762452235,13,1,1,19.459056603773586,3.261320754716987,42.397169811320836,13,1,1,20.9025,1.4199999999999946,18.45999999999993
