,Hour,Count1,Cluster_id1,Best_h1,Price_weekday1,Savings1,Final_Savings1,Count2,Cluster_id2,Best_h2,Price_sat2,Savings2,Final_Savings2,Count3,Cluster_id3,Best_h3,Price_sun3,Savings3,Final_Savings3
0,0,55,0,0,22.245593869731803,0.0,0.0,10,0,0,23.26773584905661,0.0,0.0,9,0,0,17.756730769230767,0.0,0.0
1,1,32,0,0,21.259003831417626,0.0,0.0,10,0,0,22.121886792452827,0.0,0.0,9,0,0,16.85653846153847,0.0,0.0
2,2,28,0,0,21.253984674329512,0.0,0.0,7,0,0,21.703773584905658,0.0,0.0,4,0,0,16.4475,0.0,0.0
3,3,22,0,0,22.811762452107267,0.0,0.0,6,0,0,21.910377358490557,0.0,0.0,3,0,0,16.34692307692308,0.0,0.0
4,4,19,2,1,27.572758620689658,4.760996168582391,90.45892720306543,4,2,1,22.46226415094339,0.5518867924528337,2.2075471698113347,1,2,1,16.354230769230767,0.007307692307687574,0.007307692307687574
5,5,23,3,1,33.96816091954022,6.395402298850559,147.09425287356285,5,3,1,23.646226415094336,1.1839622641509457,5.919811320754729,1,3,1,16.132499999999997,0.22173076923077062,0.22173076923077062
6,6,54,4,1,38.84609195402297,4.877931034482749,263.4082758620685,8,4,1,26.455094339622644,2.8088679245283075,22.47094339622646,3,4,1,18.069615384615386,1.9371153846153888,5.811346153846166
7,7,64,4,2,38.16226053639844,2.032183908045951,130.05977011494087,11,4,2,28.553584905660376,0.2799999999999976,3.0799999999999734,7,4,2,19.27634615384616,0.581730769230763,4.072115384615341
8,8,68,3,0,36.13007662835249,0.0,0.0,15,3,0,28.833584905660373,0.0,0.0,14,3,0,19.858076923076922,0.0,0.0
9,9,69,3,0,34.76678160919539,0.0,0.0,15,3,0,28.049622641509444,0.0,0.0,13,3,0,20.438653846153848,0.0,0.0
10,10,65,3,2,33.142988505747105,1.7302298850574545,112.46494252873454,13,3,2,26.766603773584905,1.75660377358491,22.83584905660383,13,3,2,18.889615384615386,3.0688461538461542,39.895
11,11,68,2,2,31.41275862068965,0.6191187739463686,42.100076628353065,18,2,2,25.009999999999994,1.189056603773583,21.403018867924494,19,2,2,15.820769230769232,2.757884615384617,52.39980769230772
12,12,65,1,0,30.793639846743282,0.0,0.0,17,1,0,23.82094339622641,0.0,0.0,16,1,0,13.062884615384615,0.0,0.0
13,13,78,2,1,31.125938697318016,0.33229885057473396,25.91931034482925,19,2,1,23.449622641509443,0.3713207547169688,7.055094339622407,15,2,1,14.322307692307694,1.2594230769230794,18.891346153846193
14,14,78,2,0,32.29329501915707,0.0,0.0,18,2,0,24.83754716981133,0.0,0.0,16,2,0,15.680192307692304,0.0,0.0
15,15,87,3,1,34.97827586206895,2.6849808429118767,233.59333333333328,17,3,1,28.09037735849057,3.2528301886792406,55.29811320754709,13,3,1,20.791923076923087,5.111730769230784,66.45250000000019
16,16,92,4,1,39.56819923371647,4.589923371647522,422.272950191572,21,4,1,32.40754716981132,4.317169811320753,90.6605660377358,14,4,1,27.49230769230769,6.700384615384603,93.80538461538444
17,17,78,4,0,40.51260536398469,0.0,0.0,19,4,0,34.4866037735849,0.0,0.0,17,4,0,31.1675,0.0,0.0
18,18,69,4,2,38.23605363984672,4.242337164750943,292.721264367815,17,4,2,32.42113207547171,3.0566037735849108,51.96226415094348,16,4,2,31.03423076923077,1.9288461538461625,30.8615384615386
19,19,59,3,0,33.99371647509578,0.0,0.0,16,3,0,29.3645283018868,0.0,0.0,16,3,0,29.105384615384608,0.0,0.0
20,20,63,3,2,30.608275862068965,2.795019157088113,176.08620689655112,14,3,2,27.65075471698113,1.502641509433957,21.036981132075397,13,3,2,27.80384615384616,1.759230769230772,22.870000000000037
21,21,74,2,2,27.81325670498085,2.611226053639836,193.23072796934787,13,2,2,26.148113207547173,3.4277358490565994,44.560566037735796,13,2,2,26.044615384615387,3.7221153846153925,48.3875000000001
22,22,67,1,0,25.202030651341015,0.0,0.0,12,1,0,22.720377358490573,0.0,0.0,13,1,0,22.322499999999994,0.0,0.0
23,23,61,1,1,24.044750957854408,1.1572796934866076,70.59406130268306,12,1,1,19.459056603773586,3.261320754716987,39.135849056603845,12,1,1,20.9025,1.4199999999999946,17.039999999999935
