,Hour,Count1,Cluster_id1,Best_h1,Price_weekday1,Savings1,Final_Savings1,Count2,Cluster_id2,Best_h2,Price_sat2,Savings2,Final_Savings2,Count3,Cluster_id3,Best_h3,Price_sun3,Savings3,Final_Savings3
0,0,13,0,0,22.245593869731803,0.0,0.0,1,0,0,23.26773584905661,0.0,0.0,5,0,0,17.756730769230767,0.0,0.0
1,1,6,0,0,21.259003831417626,0.0,0.0,1,0,0,22.121886792452827,0.0,0.0,4,0,0,16.85653846153847,0.0,0.0
2,3,8,0,0,22.811762452107267,0.0,0.0,3,0,0,21.910377358490557,0.0,0.0,2,0,0,16.34692307692308,0.0,0.0
3,4,7,2,1,27.572758620689658,4.760996168582391,33.326973180076735,2,2,1,22.46226415094339,0.5518867924528337,1.1037735849056673,2,2,1,16.354230769230767,0.007307692307687574,0.014615384615375149
4,6,23,4,1,38.84609195402297,4.877931034482749,112.19241379310324,3,4,1,26.455094339622644,3.992830188679253,11.97849056603776,2,4,1,18.069615384615386,1.9371153846153888,3.8742307692307776
5,7,35,4,2,38.16226053639844,2.032183908045951,71.12643678160829,8,4,2,28.553584905660376,0.2799999999999976,2.2399999999999807,4,4,2,19.27634615384616,0.581730769230763,2.326923076923052
6,8,46,3,0,36.13007662835249,0.0,0.0,10,3,0,28.833584905660373,0.0,0.0,10,3,0,19.858076923076922,0.0,0.0
7,9,20,3,0,34.76678160919539,0.0,0.0,10,3,0,28.049622641509444,0.0,0.0,6,3,0,20.438653846153848,0.0,0.0
8,10,20,3,2,33.142988505747105,1.7302298850574545,34.60459770114909,5,3,2,26.766603773584905,1.75660377358491,8.78301886792455,5,3,2,18.889615384615386,3.0688461538461542,15.344230769230771
9,11,24,2,2,31.41275862068965,0.6191187739463686,14.858850574712847,2,2,2,25.009999999999994,1.189056603773583,2.378113207547166,5,2,2,15.820769230769232,2.757884615384617,13.789423076923084
10,12,30,1,0,30.793639846743282,0.0,0.0,1,1,0,23.82094339622641,0.0,0.0,6,1,0,13.062884615384615,0.0,0.0
11,13,23,2,1,31.125938697318016,0.33229885057473396,7.642873563218881,4,2,1,23.449622641509443,0.3713207547169688,1.4852830188678752,8,2,1,14.322307692307694,1.2594230769230794,10.075384615384635
12,14,21,2,0,32.29329501915707,0.0,0.0,6,2,0,24.83754716981133,0.0,0.0,5,2,0,15.680192307692304,0.0,0.0
13,15,18,3,1,34.97827586206895,2.6849808429118767,48.32965517241378,4,3,1,28.09037735849057,3.2528301886792406,13.011320754716962,5,3,1,20.791923076923087,5.111730769230784,25.558653846153916
14,16,15,4,1,39.56819923371647,4.589923371647522,68.84885057471283,3,4,1,32.40754716981132,4.317169811320753,12.951509433962258,2,4,1,27.49230769230769,6.700384615384603,13.400769230769207
15,17,22,4,0,40.51260536398469,0.0,0.0,3,4,0,34.4866037735849,0.0,0.0,10,4,0,31.1675,0.0,0.0
16,18,32,4,2,38.23605363984672,4.242337164750943,135.75478927203017,8,4,2,32.42113207547171,3.0566037735849108,24.452830188679286,8,4,2,31.03423076923077,1.9288461538461625,15.4307692307693
17,19,22,3,0,33.99371647509578,0.0,0.0,7,3,0,29.3645283018868,0.0,0.0,9,3,0,29.105384615384608,0.0,0.0
18,20,29,3,2,30.608275862068965,2.795019157088113,81.05555555555529,8,3,2,27.65075471698113,1.502641509433957,12.021132075471655,7,3,2,27.80384615384616,1.759230769230772,12.314615384615404
19,21,19,2,2,27.81325670498085,2.611226053639836,49.61329501915688,4,2,2,26.148113207547173,3.4277358490565994,13.710943396226398,5,2,2,26.044615384615387,3.7221153846153925,18.610576923076962
20,22,18,1,0,25.202030651341015,0.0,0.0,3,1,0,22.720377358490573,0.0,0.0,2,1,0,22.322499999999994,0.0,0.0
21,23,14,1,1,24.044750957854408,1.1572796934866076,16.201915708812507,1,1,1,19.459056603773586,3.261320754716987,3.261320754716987,3,1,1,20.9025,1.4199999999999946,4.259999999999984
