,Hour,Count1,Cluster_id1,Best_h1,Price_weekday1,Savings1,Final_Savings1,Count2,Cluster_id2,Best_h2,Price_sat2,Savings2,Final_Savings2,Count3,Cluster_id3,Best_h3,Price_sun3,Savings3,Final_Savings3
0,0,55,0,0,22.245593869731803,0.0,0.0,8,0,0,23.26773584905661,0.0,0.0,10,0,0,17.756730769230767,0.0,0.0
1,1,54,0,0,21.259003831417626,0.0,0.0,10,0,0,22.121886792452827,0.0,0.0,10,0,0,16.85653846153847,0.0,0.0
2,2,53,0,0,21.253984674329512,0.0,0.0,8,0,0,21.703773584905658,0.0,0.0,13,0,0,16.4475,0.0,0.0
3,3,57,0,0,22.811762452107267,0.0,0.0,8,0,0,21.910377358490557,0.0,0.0,10,0,0,16.34692307692308,0.0,0.0
4,4,50,2,1,27.572758620689658,4.760996168582391,238.04980842911957,8,2,1,22.46226415094339,0.5518867924528337,4.415094339622669,10,2,1,16.354230769230767,0.007307692307687574,0.07307692307687574
5,5,54,3,1,33.96816091954022,6.395402298850559,345.3517241379302,8,3,1,23.646226415094336,1.1839622641509457,9.471698113207566,10,3,1,16.132499999999997,0.22173076923077062,2.217307692307706
6,6,55,4,1,38.84609195402297,4.877931034482749,268.2862068965512,7,4,1,26.455094339622644,2.8088679245283075,19.662075471698152,10,4,1,18.069615384615386,1.9371153846153888,19.371153846153888
7,7,64,4,2,38.16226053639844,2.032183908045951,130.05977011494087,13,4,2,28.553584905660376,0.2799999999999976,3.6399999999999686,11,4,2,19.27634615384616,0.581730769230763,6.399038461538392
8,8,82,3,0,36.13007662835249,0.0,0.0,11,3,0,28.833584905660373,0.0,0.0,12,3,0,19.858076923076922,0.0,0.0
9,9,83,3,0,34.76678160919539,0.0,0.0,15,3,0,28.049622641509444,0.0,0.0,15,3,0,20.438653846153848,0.0,0.0
10,10,84,3,2,33.142988505747105,1.7302298850574545,145.33931034482617,14,3,2,26.766603773584905,1.75660377358491,24.59245283018874,13,3,2,18.889615384615386,3.0688461538461542,39.895
11,11,88,2,2,31.41275862068965,0.6191187739463686,54.48245210728044,16,2,2,25.009999999999994,1.189056603773583,19.02490566037733,16,2,2,15.820769230769232,2.757884615384617,44.12615384615387
12,12,87,1,0,30.793639846743282,0.0,0.0,16,1,0,23.82094339622641,0.0,0.0,18,1,0,13.062884615384615,0.0,0.0
13,13,74,2,1,31.125938697318016,0.33229885057473396,24.590114942530313,15,2,1,23.449622641509443,0.3713207547169688,5.569811320754532,18,2,1,14.322307692307694,1.2594230769230794,22.66961538461543
14,14,79,2,0,32.29329501915707,0.0,0.0,17,2,0,24.83754716981133,0.0,0.0,19,2,0,15.680192307692304,0.0,0.0
15,15,77,3,1,34.97827586206895,2.6849808429118767,206.7435249042145,15,3,1,28.09037735849057,3.2528301886792406,48.79245283018861,15,3,1,20.791923076923087,5.111730769230784,76.67596153846175
16,16,73,4,1,39.56819923371647,4.589923371647522,335.0644061302691,18,4,1,32.40754716981132,4.317169811320753,77.70905660377355,15,4,1,27.49230769230769,6.700384615384603,100.50576923076905
17,17,76,4,0,40.51260536398469,0.0,0.0,18,4,0,34.4866037735849,0.0,0.0,18,4,0,31.1675,0.0,0.0
18,18,68,4,2,38.23605363984672,4.242337164750943,288.47892720306413,15,4,2,32.42113207547171,3.0566037735849108,45.84905660377366,17,4,2,31.03423076923077,1.9288461538461625,32.79038461538477
19,19,73,3,0,33.99371647509578,0.0,0.0,15,3,0,29.3645283018868,0.0,0.0,18,3,0,29.105384615384608,0.0,0.0
20,20,64,3,2,30.608275862068965,2.795019157088113,178.88122605363924,12,3,2,27.65075471698113,1.502641509433957,18.031698113207483,10,3,2,27.80384615384616,1.759230769230772,17.59230769230772
21,21,67,2,2,27.81325670498085,2.611226053639836,174.952145593869,11,2,2,26.148113207547173,3.4277358490565994,37.70509433962259,5,2,2,26.044615384615387,3.7221153846153925,18.610576923076962
22,22,59,1,0,25.202030651341015,0.0,0.0,11,1,0,22.720377358490573,0.0,0.0,7,1,0,22.322499999999994,0.0,0.0
23,23,55,1,1,24.044750957854408,1.1572796934866076,63.65038314176342,14,1,1,19.459056603773586,3.261320754716987,45.65849056603782,8,1,1,20.9025,1.4199999999999946,11.359999999999957
